grammar,language,gender,age,socialmedia,education,educ_un,smart_stup,stim,friend_un,fem_not,young_old,funny_un,form_cas,prent_unp,masc_not,user_gender
2,english,Female,55,4,3,3,3,noth_inn,6,2,4,3,7,7,5,female
4,english,Female,20,4,2,2,2,noth_inn,6,2,4,4,3,3,7,female
2,english,Male,30,5,2,4,4,noth_inn,7,4,3,3,7,4,4,female
1,english,Male,36,5,2,4,4,noth_ing,4,4,4,3,6,6,4,female
4,english,Male,48,4,2,3,4,noth_ing,6,2,4,2,6,5,6,female
2,english,Male,56,5,3,4,4,noth_inn,5,4,4,3,5,4,5,female
5,english,Male,38,5,4,3,4,noth_ing,5,3,3,4,6,4,4,female
1,english,Male,48,3,2,4,4,noth_inn,5,7,5,4,6,4,1,female
2,english,Male,35,5,3,2,3,noth_inn,4,5,4,1,1,6,3,female
1,english,Male,35,2,3,4,4,noth_inn,7,4,3,3,7,6,4,female
3,english,Male,19,5,2,4,2,noth_inn,7,4,5,3,7,7,4,female
2,english,Female,27,5,2,3,4,noth_ing,7,1,5,2,6,4,4,female
4,english,Female,27,4,3,4,4,noth_ing,5,3,3,5,6,4,5,female
2,english,Male,50,5,2,4,4,noth_ing,4,4,4,4,4,4,4,female
5,english,Female,32,5,2,4,4,noth_ing,7,4,4,4,7,7,4,female
3,english,Female,35,5,2,3,4,noth_inn,5,2,4,3,7,3,4,female
2,english,Male,35,5,2,4,3,noth_inn,6,4,6,5,6,5,4,female
2,english,Female,36,5,4,4,4,noth_inn,5,3,5,4,5,4,5,female
3,english,Male,65,1,3,4,4,noth_inn,5,4,4,3,5,4,4,female
3,english,Female,34,3,3,2,2,noth_ing,7,2,5,2,6,3,5,female
2,english,Female,23,5,1,4,4,noth_ing,4,4,4,5,5,3,5,female
1,english,Female,36,5,2,4,4,noth_inn,5,5,4,4,5,5,5,female
3,english,Female,21,4,2,3,3,noth_ing,6,3,3,3,7,4,4,female
2,english,Male,31,5,3,3,3,noth_ing,6,4,4,4,7,6,4,female
2,english,Male,35,5,2,5,4,noth_ing,5,3,3,3,5,6,6,female
3,english,Female,65,5,4,4,4,noth_inn,7,4,4,3,6,6,6,female
3,english,Female,25,5,3,5,5,noth_inn,3,5,3,6,7,4,5,female
4,english,Male,40,5,4,4,3,noth_inn,6,5,3,3,6,3,3,female
4,english,Female,19,5,2,4,2,noth_inn,6,6,3,5,7,1,3,female
3,english,Female,27,5,1,4,4,noth_ing,4,4,3,1,7,4,4,female
2,english,Female,21,4,3,3,2,noth_ing,6,2,3,3,4,5,5,female
4,english,Female,42,1,2,3,3,noth_ing,5,4,5,3,4,4,4,female
4,english,Female,28,5,3,4,4,noth_inn,4,3,4,3,5,3,5,female
5,english,Female,41,3,3,3,3,noth_ing,6,4,5,5,6,4,4,female
1,english,Female,40,5,3,5,5,noth_ing,6,3,4,6,6,5,6,female
2,english,Female,33,5,2,3,4,noth_inn,5,2,4,6,3,5,6,female
2,english,Male,30,5,3,4,4,noth_ing,5,4,3,4,4,4,4,female
2,english,Female,52,2,2,1,2,noth_ing,6,4,4,3,6,7,4,female
2,english,Female,26,5,3,4,4,noth_inn,6,4,2,2,7,3,7,female
3,english,Female,26,5,3,4,4,noth_ing,6,2,3,6,6,5,6,female
3,english,Male,22,5,2,4,5,noth_inn,5,4,3,6,4,6,4,female
4,english,Female,37,5,3,5,2,noth_ing,6,4,5,2,6,4,7,female
2,english,Female,33,5,1,4,4,noth_inn,7,3,3,4,7,4,6,female
3,english,Female,42,5,2,3,3,noth_ing,4,3,4,3,5,5,5,female
3,english,Female,61,5,2,4,4,noth_inn,4,4,5,3,7,6,4,female
1,english,Female,29,5,1,1,1,noth_ing,7,1,3,1,7,7,7,female
4,english,Male,27,1,3,2,5,noth_inn,3,4,4,4,5,3,3,female
3,english,Male,23,5,2,6,5,noth_inn,2,4,1,5,6,6,4,female
5,english,Female,28,4,0,4,2,noth_ing,5,4,4,4,4,2,4,female
1,english,Female,60,5,2,3,3,noth_inn,7,4,5,3,6,7,4,female
2,english,Female,35,5,2,6,3,noth_inn,7,6,4,1,7,4,2,female
4,english,Male,40,5,2,5,5,noth_inn,5,3,4,4,6,3,5,female
4,english,Male,19,5,2,3,3,noth_ing,5,4,2,5,4,3,4,female
3,english,Female,25,2,3,4,3,noth_inn,6,4,3,3,6,6,4,female
1,english,Female,66,5,0,4,3,noth_ing,5,2,4,4,6,5,5,female
3,english,Female,35,5,1,4,3,noth_ing,5,3,5,4,5,5,5,female
4,english,Female,26,5,2,2,1,noth_ing,7,1,3,4,5,3,7,female
4,english,Female,27,5,3,1,3,noth_ing,6,1,4,1,7,6,6,female
1,english,Male,42,5,3,4,4,noth_ing,5,4,5,3,6,6,4,female
2,english,Male,24,5,3,4,4,noth_ing,6,4,3,7,6,6,4,female
2,english,Female,40,5,2,5,4,noth_inn,5,3,5,6,6,6,5,female
4,english,Female,26,5,2,6,5,noth_inn,4,5,4,5,7,5,4,female
2,english,Female,29,5,4,3,4,noth_inn,7,1,4,4,4,3,7,female
2,english,Male,21,2,2,2,2,noth_ing,5,3,1,3,5,7,5,female
2,english,Male,24,4,3,4,4,noth_inn,4,3,3,4,7,5,5,female
5,english,Other,33,2,2,5,6,noth_ing,5,4,2,6,7,4,4,female
3,english,Male,28,5,2,1,2,noth_inn,6,5,3,4,6,4,4,female
4,english,Female,30,4,4,4,4,noth_inn,5,3,6,4,7,6,4,female
3,english,Female,28,4,1,4,4,noth_ing,5,3,4,4,5,4,6,female
5,english,Female,48,5,2,3,3,noth_ing,5,4,4,4,7,7,4,female
2,english,Female,29,3,4,5,5,noth_inn,6,6,6,5,4,5,5,female
1,english,Female,30,5,1,1,1,noth_ing,7,1,4,7,7,4,7,female
2,english,Male,3,2,2,3,5,noth_ing,3,3,3,5,3,3,5,male
3,english,Female,6,5,2,3,2,noth_inn,6,3,5,4,6,3,5,male
2,english,Female,30,3,4,2,2,noth_inn,7,4,4,3,7,6,4,male
4,english,Female,16,5,3,4,5,noth_ing,6,3,3,5,7,2,5,male
2,english,Male,13,5,2,4,4,noth_ing,5,4,5,5,6,4,4,male
2,english,Female,9,5,3,2,3,noth_ing,6,2,4,3,7,4,6,male
5,english,Female,12,5,3,2,3,noth_ing,5,4,3,3,6,1,4,male
2,english,Male,8,4,2,4,4,noth_inn,5,6,5,3,6,6,6,male
1,english,Male,12,2,2,4,4,noth_inn,7,4,5,2,4,4,4,male
2,english,Female,31,4,2,3,3,noth_inn,6,6,4,3,6,6,2,male
2,english,Female,10,5,3,4,5,noth_inn,6,5,4,6,6,6,4,male
3,english,Female,26,5,3,3,2,noth_ing,4,4,4,3,5,4,6,male
2,english,Male,13,5,2,3,3,noth_ing,5,4,5,2,5,4,4,male
2,english,Female,3,1,2,3,4,noth_inn,5,4,4,4,6,4,4,male
3,english,Female,16,4,2,2,2,noth_inn,7,5,4,2,7,4,3,male
2,english,Male,32,5,2,6,5,noth_inn,7,6,3,4,7,7,4,male
2,english,Female,6,4,3,3,3,noth_inn,6,3,3,3,6,5,4,male
4,english,Male,25,5,1,5,3,noth_inn,5,3,5,5,5,5,3,male
2,english,Male,27,5,2,3,4,noth_inn,6,4,3,3,7,5,4,male
1,english,Female,22,5,1,3,3,noth_inn,7,7,5,3,7,7,3,male
1,english,Male,19,4,1,2,2,noth_ing,6,3,5,6,6,5,5,male
2,english,Male,28,5,2,3,4,noth_ing,5,5,3,3,5,6,3,male
3,english,Female,18,4,3,3,3,noth_ing,4,6,4,5,4,3,2,male
2,english,Male,13,3,1,3,4,noth_ing,5,4,4,4,4,4,4,male
2,english,Male,22,5,4,3,2,noth_ing,6,4,2,3,6,6,4,male
3,english,Female,29,5,4,4,4,noth_inn,6,6,4,3,7,6,2,male
2,english,Male,11,5,3,4,4,noth_inn,4,4,4,4,7,2,4,male
1,english,Female,9,5,3,4,5,noth_inn,2,4,4,6,7,2,4,male
3,english,Male,1,5,2,4,4,noth_ing,6,5,6,3,7,4,3,male
1,english,Male,16,5,4,4,4,noth_ing,5,4,4,5,5,5,4,male
3,english,Male,7,2,3,5,6,noth_inn,5,6,5,5,5,4,3,male
2,english,Male,11,1,2,4,4,noth_ing,6,4,4,4,7,4,4,male
3,english,Female,6,5,4,4,4,noth_ing,5,5,5,5,5,4,4,male
2,english,Male,15,4,3,3,5,noth_inn,5,4,4,3,6,3,4,male
2,english,Male,11,5,3,6,3,noth_ing,5,3,5,3,4,5,4,male
3,english,Female,13,5,3,3,2,noth_inn,6,5,4,3,5,3,3,male
1,english,Male,4,2,3,3,3,noth_inn,5,5,5,3,3,4,3,male
4,english,Male,4,5,3,3,2,noth_inn,4,6,6,6,4,3,2,male
2,english,Female,34,5,2,1,2,noth_inn,6,7,6,2,6,6,1,male
3,english,Male,16,5,3,5,6,noth_inn,5,4,3,6,6,3,4,male
1,english,Male,4,1,1,5,4,noth_ing,1,4,3,6,6,3,4,male
2,english,Male,11,4,3,4,4,noth_inn,4,4,4,4,5,4,4,male
3,english,Female,5,5,2,3,2,noth_inn,7,5,3,2,5,3,2,male
3,english,Female,20,5,2,5,4,noth_ing,7,5,5,5,7,7,5,male
2,english,Female,24,5,3,2,3,noth_ing,5,6,4,2,6,6,2,male
1,english,Male,21,4,3,3,3,noth_inn,6,5,5,3,6,5,3,male
2,english,Male,11,3,2,3,3,noth_inn,5,5,4,4,4,5,3,male
4,english,Male,27,3,3,3,4,noth_ing,6,5,4,3,6,6,5,male
3,english,Female,14,5,4,3,3,noth_ing,4,6,6,5,5,4,3,male
3,english,Male,13,4,3,3,3,noth_ing,5,2,2,2,6,6,6,male
2,english,Female,7,5,1,1,2,noth_ing,7,7,4,2,7,1,4,male
2,english,Male,9,5,3,4,4,noth_inn,6,5,4,3,6,5,3,male
1,english,Male,17,4,3,4,4,noth_inn,5,4,3,4,5,5,4,male
3,english,Female,6,5,3,2,2,noth_ing,5,4,3,3,5,2,4,male
4,english,Female,23,5,3,4,4,noth_ing,5,6,4,4,6,4,3,male
1,english,Male,17,5,1,3,3,noth_ing,5,4,3,4,6,5,4,male
4,english,Female,11,5,3,5,5,noth_inn,5,4,3,3,6,5,4,male
4,english,Male,6,5,2,3,2,noth_inn,5,6,6,3,3,3,2,male
2,english,Male,12,5,4,5,4,noth_inn,6,6,3,5,6,6,2,male
4,english,Male,33,5,4,4,4,noth_ing,7,4,4,3,7,6,4,male
2,english,Female,10,5,3,3,2,noth_inn,5,4,4,3,4,3,5,male
2,english,Female,6,1,3,2,2,noth_ing,5,4,3,3,5,3,4,male
2,english,Female,14,4,3,4,4,noth_inn,5,6,3,3,6,5,2,male
3,english,Female,11,5,3,4,2,noth_inn,5,4,3,2,7,5,4,male
2,english,Female,19,5,2,4,4,noth_inn,6,4,5,4,7,6,4,male
2,english,Male,17,5,3,5,5,noth_inn,4,4,4,4,4,4,4,male
4,english,Male,5,3,3,3,4,noth_inn,5,4,6,3,7,4,1,male
4,english,Female,13,5,3,3,4,noth_ing,4,3,6,5,6,4,6,male
